FET,DAP,TF,Dropout
61.87,10.74,5,0
69.84,11.98,4,0
58.64,10.05,5,0
65.98,11.16,4,0
76.85,13.60,2,0
43.00,8.33,9,1
61.57,10.69,5,0
69.57,11.92,4,0
58.46,10.00,5,0
65.80,11.13,4,0
76.50,13.52,2,0
42.30,8.20,9,1
61.27,10.64,5,0
69.29,11.85,4,0
58.28,9.95,5,0
65.62,11.10,4,0
76.15,13.44,2,0
41.60,8.07,9,1
60.97,10.59,5,0
69.02,11.78,4,0
58.10,9.90,5,0
65.44,11.07,4,0
75.80,13.36,2,0
40.90,7.94,10,1
60.67,10.54,5,0
68.74,11.71,4,0
57.92,9.85,5,0
65.26,11.04,4,0
75.45,13.28,2,0
40.20,7.81,10,1
60.37,10.49,5,0
68.46,11.64,4,0
57.74,9.80,5,0
65.08,11.01,4,0
75.10,13.20,2,0
39.50,7.68,10,1
60.07,10.44,5,0
68.18,11.57,4,0
57.56,9.75,5,0
64.90,10.98,4,0
74.75,13.12,2,0
38.80,7.55,10,1
59.77,10.39,5,0
67.90,11.50,4,0
57.38,9.70,5,0
64.72,10.95,4,0
74.40,13.04,2,0
38.10,7.42,10,1
59.47,10.34,5,0
67.62,11.43,4,0
57.20,9.65,5,0
64.54,10.92,4,0
74.05,12.96,2,0
37.40,7.29,10,1
59.17,10.29,5,0
67.34,11.36,4,0
57.02,9.60,5,0
64.36,10.89,4,0
73.70,12.88,2,0
36.70,7.16,10,1
58.87,10.24,5,0
67.06,11.29,4,0
56.84,9.55,5,0
64.18,10.86,4,0
73.35,12.80,2,0
36.00,7.03,11,1
58.57,10.19,5,0
66.78,11.22,4,0
56.66,9.50,5,0
64.00,10.83,4,0
73.00,12.72,2,0
35.30,6.90,11,1
58.27,10.14,5,0
66.50,11.15,4,0
56.48,9.45,5,0
63.82,10.80,4,0
72.65,12.64,2,0
34.60,6.77,11,1
57.97,10.09,5,0
66.22,11.08,4,0
56.30,9.40,5,0
63.64,10.77,4,0
72.30,12.56,2,0
33.90,6.64,11,1
57.67,10.04,5,0
65.94,11.01,4,0
56.12,9.35,5,0
63.46,10.74,4,0
71.95,12.48,2,0
33.20,6.51,11,1
57.37,9.99,5,0
65.66,10.94,4,0
55.94,9.30,5,0
63.28,10.71,4,0
71.60,12.40,2,0
32.50,6.38,11,1
57.07,9.94,5,0
65.38,10.87,4,0
55.76,9.25,5,0
63.10,10.68,4,0
71.25,12.32,2,0
31.80,6.25,12,1
56.77,9.89,5,0
65.10,10.80,4,0
55.58,9.20,5,0
62.92,10.65,4,0
70.90,12.24,2,0
31.10,6.12,12,1
56.47,9.84,5,0
64.82,10.73,4,0
55.40,9.15,5,0
62.74,10.62,4,0
70.55,12.16,2,0
30.40,5.99,12,1
56.17,9.79,5,0
64.54,10.66,4,0
55.22,9.10,5,0
62.56,10.59,4,0
70.20,12.08,2,0
29.70,5.86,12,1
55.87,9.74,5,0
64.26,10.59,4,0
55.04,9.05,5,0
62.38,10.56,4,0
69.85,12.00,2,0
29.00,5.73,12,1
55.57,9.69,5,0
63.98,10.52,4,0
54.86,9.00,5,0
62.20,10.53,4,0
69.50,11.92,2,0
28.30,5.60,12,1
55.27,9.64,5,0
63.70,10.45,4,0
54.68,8.95,5,0
62.02,10.50,4,0
69.15,11.84,2,0
27.60,5.47,13,1
54.97,9.59,5,0
63.42,10.38,4,0
54.50,8.90,5,0
61.84,10.47,4,0
68.80,11.76,2,0
26.90,5.34,13,1
54.67,9.54,5,0
63.14,10.31,4,0
54.32,8.85,5,0
61.66,10.44,4,0
68.45,11.68,2,0
26.20,5.21,13,1
54.37,9.49,5,0
62.86,10.24,4,0
54.14,8.80,5,0
61.48,10.41,4,0
68.10,11.60,2,0
25.50,5.08,13,1
54.07,9.44,5,0
62.58,10.17,4,0
53.96,8.75,5,0
61.30,10.38,4,0
67.75,11.52,2,0
24.80,4.95,13,1
53.77,9.39,5,0
62.30,10.10,4,0
53.78,8.70,5,0
61.12,10.35,4,0
67.40,11.44,2,0
24.10,4.82,14,1
53.47,9.34,5,0
62.02,10.03,4,0
53.60,8.65,5,0
60.94,10.32,4,0
67.05,11.36,2,0
23.40,4.69,14,1
53.17,9.29,5,0
61.74,9.96,4,0
53.42,8.60,5,0
60.76,10.29,4,0
66.70,11.28,2,0
22.70,4.56,14,1
52.87,9.24,5,0
61.46,9.89,4,0
53.24,8.55,5,0
60.58,10.26,4,0
66.35,11.20,2,0
22.00,4.43,14,1
52.57,9.19,5,0
61.18,9.82,4,0
53.06,8.50,5,0
60.40,10.23,4,0
66.00,11.12,2,0
21.30,4.30,14,1
52.27,9.14,5,0
60.90,9.75,4,0
52.88,8.45,5,0
60.22,10.20,4,0
65.65,11.04,2,0
20.60,4.17,14,1
51.97,9.09,5,0
60.62,9.68,4,0
52.70,8.40,5,0
60.04,10.17,4,0
65.30,10.96,2,0
19.90,4.04,15,1
51.67,9.04,5,0
60.34,9.61,4,0
52.52,8.35,5,0
59.86,10.14,4,0
64.95,10.88,2,0
19.20,3.91,15,1
51.37,8.99,5,0
60.06,9.54,4,0
52.34,8.30,5,0
59.68,10.11,4,0
64.60,10.80,2,0
18.50,3.78,15,1
51.07,8.94,5,0
59.78,9.47,4,0
52.16,8.25,5,0
59.50,10.08,4,0
64.25,10.72,2,0
17.80,3.65,15,1
50.77,8.89,5,0
59.50,9.40,4,0
51.98,8.20,5,0
59.32,10.05,4,0
63.90,10.64,2,0
17.10,3.52,15,1
50.47,8.84,5,0
59.22,9.33,4,0
51.80,8.15,5,0
59.14,10.02,4,0
63.55,10.56,2,0
16.40,3.39,15,1
50.17,8.79,5,0
58.94,9.26,4,0
51.62,8.10,5,0
58.96,9.99,4,0
63.20,10.48,2,0
15.70,3.26,16,1
49.87,8.74,5,0
58.66,9.19,4,0
51.44,8.05,5,0
58.78,9.96,4,0
62.85,10.40,2,0
15.00,3.13,16,1
49.57,8.69,5,0
58.38,9.12,4,0
51.26,8.00,5,0
58.60,9.93,4,0
62.50,10.32,2,0
14.30,3.00,16,1
49.27,8.64,5,0
58.10,9.05,4,0
51.08,7.95,5,0
58.42,9.90,4,0
62.15,10.24,2,0
13.60,2.87,16,1
48.97,8.59,5,0
57.82,8.98,4,0
50.90,7.90,5,0
58.24,9.87,4,0
61.80,10.16,2,0
12.90,2.74,16,1
48.67,8.54,5,0
57.54,8.91,4,0
50.72,7.85,5,0
58.06,9.84,4,0
61.45,10.08,2,0
12.20,2.61,16,1
48.37,8.49,5,0
57.26,8.84,4,0
50.54,7.80,5,0
57.88,9.81,4,0
61.10,10.00,2,0
11.50,2.48,17,1
48.07,8.44,5,0
56.98,8.77,4,0
50.36,7.75,5,0
57.70,9.78,4,0
60.75,9.92,2,0
10.80,2.35,17,1
47.77,8.39,5,0
56.70,8.70,4,0
50.18,7.70,5,0
57.52,9.75,4,0
60.40,9.84,2,0
10.10,2.22,17,1
47.47,8.34,5,0
56.42,8.63,4,0
50.00,7.65,5,0
57.34,9.72,4,0
60.05,9.76,2,0
9.40,2.09,17,1
47.17,8.29,5,0
56.14,8.56,4,0
49.82,7.60,5,0
57.16,9.69,4,0
59.70,9.68,2,0
8.70,1.96,17,1
46.87,8.24,5,0
55.86,8.49,4,0
49.64,7.55,5,0
56.98,9.66,4,0
59.35,9.60,2,0
8.00,1.83,17,1
46.57,8.19,5,0
55.58,8.42,4,0
49.46,7.50,5,0
56.80,9.63,4,0
59.00,9.52,2,0
7.30,1.70,18,1
46.27,8.14,5,0
55.30,8.35,4,0
49.28,7.45,5,0
56.62,9.60,4,0
58.65,9.44,2,0
6.60,1.57,18,1
45.97,8.09,5,0
55.02,8.28,4,0
49.10,7.40,5,0
56.44,9.57,4,0
58.30,9.36,2,0
5.90,1.44,18,1
45.67,8.04,5,0
54.74,8.21,4,0
48.92,7.35,5,0
56.26,9.54,4,0
57.95,9.28,2,0
5.20,1.31,18,1
45.37,7.99,5,0
54.46,8.14,4,0
48.74,7.30,5,0
56.08,9.51,4,0
57.60,9.20,2,0
4.50,1.18,18,1
45.07,7.94,5,0
54.18,8.07,4,0
48.56,7.25,5,0
55.90,9.48,4,0
57.25,9.12,2,0
3.80,1.05,18,1
44.77,7.89,5,0
53.90,8.00,4,0
48.38,7.20,5,0
55.72,9.45,4,0
56.90,9.04,2,0
3.10,0.92,19,1
44.47,7.84,5,0
53.62,7.93,4,0
48.20,7.15,5,0
55.54,9.42,4,0
56.55,8.96,2,0
2.40,0.79,19,1
44.17,7.79,5,0
53.34,7.86,4,0
48.02,7.10,5,0
55.36,9.39,4,0
56.20,8.88,2,0
1.70,0.66,19,1
43.87,7.74,5,0
53.06,7.79,4,0
47.84,7.05,5,0
55.18,9.36,4,0
55.85,8.80,2,0
1.00,0.53,19,1
43.57,7.69,5,0
52.78,7.72,4,0
47.66,7.00,5,0
55.00,9.33,4,0
55.50,8.72,2,0
0.30,0.40,19,1
43.27,7.64,5,0
52.50,7.65,4,0
47.48,6.95,5,0
54.82,9.30,4,0
55.15,8.64,2,0
0.00,0.27,20,1
42.97,7.59,5,0
52.22,7.58,4,0
47.30,6.90,5,0
54.64,9.27,4,0
54.80,8.56,2,0
0.00,0.14,20,1
42.67,7.54,5,0
51.94,7.51,4,0
47.12,6.85,5,0
54.46,9.24,4,0
54.45,8.48,2,0
0.00,0.01,20,1
42.37,7.49,5,0
51.66,7.44,4,0
46.94,6.80,5,0
54.28,9.21,4,0
54.10,8.40,2,0
0.00,0.00,20,1
42.07,7.44,5,0
51.38,7.37,4,0
46.76,6.75,5,0
54.10,9.18,4,0
53.75,8.32,2,0
41.77,7.39,5,0
51.10,7.30,4,0
46.58,6.70,5,0
53.92,9.15,4,0
53.40,8.24,2,0
41.47,7.34,5,0
50.82,7.23,4,0
46.40,6.65,5,0
53.74,9.12,4,0
53.05,8.16,2,0
41.17,7.29,5,0
50.54,7.16,4,0
46.22,6.60,5,0
53.56,9.09,4,0
52.70,8.08,2,0
40.87,7.24,5,0
50.26,7.09,4,0
46.04,6.55,5,0
53.38,9.06,4,0
52.35,8.00,2,0
40.57,7.19,5,0
49.98,7.02,4,0
45.86,6.50,5,0
53.20,9.03,4,0
52.00,7.92,2,0
40.27,7.14,5,0
49.70,6.95,4,0
45.68,6.45,5,0
53.02,9.00,4,0
51.65,7.84,2,0
39.97,7.09,5,0
49.42,6.88,4,0
45.50,6.40,5,0
52.84,8.97,4,0
51.30,7.76,2,0
39.67,7.04,5,0
49.14,6.81,4,0
45.32,6.35,5,0
52.66,8.94,4,0
50.95,7.68,2,0
39.37,6.99,5,0
48.86,6.74,4,0
45.14,6.30,5,0
52.48,8.91,4,0
50.60,7.60,2,0
39.07,6.94,5,0
48.58,6.67,4,0
44.96,6.25,5,0
52.30,8.88,4,0
50.25,7.52,2,0
38.77,6.89,5,0
48.30,6.60,4,0
44.78,6.20,5,0
52.12,8.85,4,0
49.90,7.44,2,0
38.47,6.84,5,0
48.02,6.53,4,0
44.60,6.15,5,0
51.94,8.82,4,0
49.55,7.36,2,0
38.17,6.79,5,0
47.74,6.46,4,0
44.42,6.10,5,0
51.76,8.79,4,0
49.20,7.28,2,0
37.87,6.74,5,0
47.46,6.39,4,0
44.24,6.05,5,0
51.58,8.76,4,0
48.85,7.20,2,0
37.57,6.69,5,0
47.18,6.32,4,0
44.06,6.00,5,0
51.40,8.73,4,0
48.50,7.12,2,0
37.27,6.64,5,0
46.90,6.25,4,0
43.88,5.95,5,0
51.22,8.70,4,0
48.15,7.04,2,0
36.97,6.59,5,0
46.62,6.18,4,0
43.70,5.90,5,0
51.04,8.67,4,0
47.80,6.96,2,0
36.67,6.54,5,0
46.34,6.11,4,0
43.52,5.85,5,0
50.86,8.64,4,0
47.45,6.88,2,0
36.37,6.49,5,0
46.06,6.04,4,0
43.34,5.80,5,0
50.68,8.61,4,0
47.10,6.80,2,0
36.07,6.44,5,0
45.78,5.97,4,0
43.16,5.75,5,0
50.50,8.58,4,0
46.75,6.72,2,0
35.77,6.39,5,0
45.50,5.90,4,0
42.98,5.70,5,0
50.32,8.55,4,0
46.40,6.64,2,0
35.47,6.34,5,0
45.22,5.83,4,0
42.80,5.65,5,0
50.14,8.52,4,0
46.05,6.56,2,0
35.17,6.29,5,0
44.94,5.76,4,0
42.62,5.60,5,0
49.96,8.49,4,0
45.70,6.48,2,0
34.87,6.24,5,0
44.66,5.69,4,0
42.44,5.55,5,0
49.78,8.46,4,0
45.35,6.40,2,0
34.57,6.19,5,0
44.38,5.62,4,0
42.26,5.50,5,0
49.60,8.43,4,0
45.00,6.32,2,0
34.27,6.14,5,0
44.10,5.55,4,0
42.08,5.45,5,0
49.42,8.40,4,0
44.65,6.24,2,0
33.97,6.09,5,0
43.82,5.48,4,0
41.90,5.40,5,0
49.24,8.37,4,0
44.30,6.16,2,0
33.67,6.04,5,0
43.54,5.41,4,0
41.72,5.35,5,0
49.06,8.34,4,0
43.95,6.08,2,0
33.37,5.99,5,0
43.26,5.34,4,0
41.54,5.30,5,0
48.88,8.31,4,0
43.60,6.00,2,0
33.07,5.94,5,0
42.98,5.27,4,0
41.36,5.25,5,0
48.70,8.28,4,0
43.25,5.92,2,0
32.77,5.89,6,0
42.70,5.20,4,0
41.18,5.20,5,0
48.52,8.25,4,0
42.90,5.84,2,0
32.47,5.84,6,0
42.42,5.13,4,0
41.00,5.15,5,0
48.34,8.22,4,0
42.55,5.76,2,0
32.17,5.79,6,0
42.14,5.06,4,0
40.82,5.10,5,0
48.16,8.19,4,0
42.20,5.68,2,0
31.87,5.74,6,0
41.86,4.99,4,0
40.64,5.05,5,0
47.98,8.16,4,0
41.85,5.60,2,0
31.57,5.69,6,0
41.58,4.92,4,0
40.46,5.00,5,0
47.80,8.13,4,0
41.50,5.52,2,0
31.27,5.64,6,0
41.30,4.85,4,0
40.28,4.95,5,0
47.62,8.10,4,0
41.15,5.44,2,0
30.97,5.59,6,0
41.02,4.78,4,0
40.10,4.90,5,0
47.44,8.07,4,0
40.80,5.36,2,0
30.67,5.54,6,0
40.74,4.71,4,0
39.92,4.85,5,0
47.26,8.04,4,0
40.45,5.28,2,0
30.37,5.49,6,0
40.46,4.64,4,0
39.74,4.80,5,0
47.08,8.01,4,0
40.10,5.20,2,0
30.07,5.44,6,0
40.18,4.57,4,0
39.56,4.75,5,0
46.90,7.98,4,0
39.75,5.12,2,0
29.77,5.39,6,0
39.90,4.50,4,0
39.38,4.70,5,0
46.72,7.95,4,0
39.40,5.04,2,0
29.47,5.34,6,0
39.62,4.43,4,0
39.20,4.65,5,0
46.54,7.92,4,0
39.05,4.96,2,0
29.17,5.29,6,0
39.34,4.36,4,0
39.02,4.60,5,0
46.36,7.89,4,0
38.70,4.88,2,0
28.87,5.24,6,0
39.06,4.29,4,0
38.84,4.55,5,0
46.18,7.86,4,0
38.35,4.80,2,0
28.57,5.19,6,0
38.78,4.22,4,0
38.66,4.50,5,0
46.00,7.83,4,0
38.00,4.72,2,0
28.27,5.14,6,0
38.50,4.15,4,0
38.48,4.45,5,0
45.82,7.80,4,0
37.65,4.64,2,0
27.97,5.09,6,0
38.22,4.08,4,0
38.30,4.40,5,0
45.64,7.77,4,0
37.30,4.56,2,0
27.67,5.04,7,0
37.94,4.01,4,0
38.12,4.35,5,0
45.46,7.74,4,0
36.95,4.48,2,0
27.37,4.99,7,0
37.66,3.94,4,0
37.94,4.30,5,0
45.28,7.71,4,0
36.60,4.40,2,0
27.07,4.94,7,0
37.38,3.87,4,0
37.76,4.25,5,0
45.10,7.68,4,0
36.25,4.32,2,0
26.77,4.89,7,0
37.10,3.80,4,0
37.58,4.20,5,0
44.92,7.65,4,0
35.90,4.24,2,0
26.47,4.84,7,0
36.82,3.73,4,0
37.40,4.15,5,0
44.74,7.62,4,0
35.55,4.16,2,0
26.17,4.79,7,0
36.54,3.66,4,0
37.22,4.10,5,0
44.56,7.59,4,0
35.20,4.08,2,0
25.87,4.74,7,0
36.26,3.59,4,0
37.04,4.05,5,0
44.38,7.56,4,0
34.85,4.00,2,0
25.57,4.69,7,0
35.98,3.52,4,0
36.86,4.00,5,0
44.20,7.53,4,0
34.50,3.92,2,0
25.27,4.64,7,0
35.70,3.45,4,0
36.68,3.95,5,0
44.02,7.50,4,0
34.15,3.84,2,0
24.97,4.59,7,0
35.42,3.38,4,0
36.50,3.90,5,0
43.84,7.47,4,0
33.80,3.76,2,0
24.67,4.54,7,0
35.14,3.31,4,0
36.32,3.85,5,0
43.66,7.44,4,0
33.45,3.68,2,0
24.37,4.49,7,0
34.86,3.24,4,0
36.14,3.80,5,0
43.48,7.41,4,0
33.10,3.60,2,0
24.07,4.44,7,0
34.58,3.17,4,0
35.96,3.75,5,0
43.30,7.38,4,0
32.75,3.52,2,0
23.77,4.39,8,0
34.30,3.10,4,0
35.78,3.70,5,0
43.12,7.35,4,0
32.40,3.44,2,0
23.47,4.34,8,0
34.02,3.03,4,0
35.60,3.65,5,0
42.94,7.32,4,0
32.05,3.36,2,0
23.17,4.29,8,0
33.74,2.96,4,0
35.42,3.60,5,0
42.76,7.29,4,0
31.70,3.28,2,0
22.87,4.24,8,0
33.46,2.89,4,0
35.24,3.55,5,0
42.58,7.26,4,0
31.35,3.20,2,0
22.57,4.19,8,0
33.18,2.82,4,0
35.06,3.50,5,0
42.40,7.23,4,0
31.00,3.12,2,0
22.27,4.14,8,0
32.90,2.75,4,0
34.88,3.45,5,0
42.22,7.20,4,0
30.65,3.04,2,0
21.97,4.09,8,0
32.62,2.68,4,0
34.70,3.40,5,0
42.04,7.17,4,0
30.30,2.96,2,0
21.67,4.04,8,0
32.34,2.61,4,0
34.52,3.35,5,0
41.86,7.14,4,0
29.95,2.88,2,0
21.37,3.99,8,0
32.06,2.54,4,0
34.34,3.30,5,0
41.68,7.11,4,0
29.60,2.80,2,0
21.07,3.94,8,0
31.78,2.47,4,0
34.16,3.25,5,0
41.50,7.08,4,0
29.25,2.72,2,0
20.77,3.89,8,0
31.50,2.40,4,0
33.98,3.20,5,0
41.32,7.05,4,0
28.90,2.64,2,0
20.47,3.84,9,0
31.22,2.33,4,0
33.80,3.15,5,0
41.14,7.02,4,0
28.55,2.56,9,0
20.17,3.79,9,0
30.94,2.26,4,0
33.62,3.10,5,0
40.96,6.99,4,0
28.20,2.48,9,0
19.87,3.74,9,0
30.66,2.19,4,0
33.44,3.05,5,0
40.78,6.96,4,0
27.85,2.40,9,0
19.57,3.69,9,0
30.38,2.12,4,0
33.26,3.00,5,0
40.60,6.93,4,0
27.50,2.32,9,0
19.27,3.64,9,0
30.10,2.05,4,0
33.08,2.95,5,0
40.42,6.90,4,0
27.15,2.24,9,0
18.97,3.59,9,0
29.82,1.98,4,0
32.90,2.90,5,0
40.24,6.87,4,0
26.80,2.16,9,0
18.67,3.54,9,0
29.54,1.91,4,0
32.72,2.85,5,0
40.06,6.84,4,0
26.45,2.08,9,0
18.37,3.49,9,0
29.26,1.84,4,0
32.54,2.80,5,0
39.88,6.81,4,0
26.10,2.00,9,0
18.07,3.44,9,0
28.98,1.77,4,0
32.36,2.75,5,0
39.70,6.78,4,0
25.75,1.92,10,0
17.77,3.39,9,0
28.70,1.70,4,0
32.18,2.70,5,0
39.52,6.75,4,0
25.40,1.84,10,0
17.47,3.34,9,0
28.42,1.63,4,0
32.00,2.65,5,0
39.34,6.72,4,0
25.05,1.76,10,0
17.17,3.29,9,0
28.14,1.56,4,0
31.82,2.60,5,0
39.16,6.69,4,0
24.70,1.68,10,0
16.87,3.24,9,0
27.86,1.49,4,0
31.64,2.55,5,0
38.98,6.66,4,0
24.35,1.60,10,0
16.57,3.19,9,0
27.58,1.42,4,0
31.46,2.50,5,0
38.80,6.63,4,0
24.00,1.52,10,0
16.27,3.14,10,0
27.30,1.35,4,0
31.28,2.45,5,0
38.62,6.60,4,0
23.65,1.44,10,0
15.97,3.09,10,0
27.02,1.28,4,0
31.10,2.40,5,0
38.44,6.57,4,0
23.30,1.36,10,0
15.67,3.04,10,0
26.74,1.21,4,0
30.92,2.35,5,0
38.26,6.54,4,0
22.95,1.28,10,0
15.37,2.99,10,0
26.46,1.14,4,0
30.74,2.30,5,0
38.08,6.51,4,0
22.60,1.20,10,0
15.07,2.94,10,0
26.18,1.07,4,0
30.56,2.25,5,0
37.90,6.48,4,0
22.25,1.12,10,0
14.77,2.89,10,0
25.90,1.00,4,0
30.38,2.20,5,0
37.72,6.45,4,0
21.90,1.04,11,0
14.47,2.84,10,0
25.62,0.93,4,0
30.20,2.15,5,0
37.54,6.42,4,0
21.55,0.96,11,0
14.17,2.79,10,0
25.34,0.86,4,0
30.02,2.10,5,0
37.36,6.39,4,0
21.20,0.88,11,0
13.87,2.74,10,0
25.06,0.79,4,0
29.84,2.05,5,0
37.18,6.36,4,0
20.85,0.80,11,0
13.57,2.69,10,0
24.78,0.72,4,0
29.66,2.00,5,0
37.00,6.33,4,0
20.50,0.72,11,0
13.27,2.64,10,0
24.50,0.65,4,0
29.48,1.95,5,0
36.82,6.30,4,0
20.15,0.64,11,0
12.97,2.59,10,0
24.22,0.58,4,0
29.30,1.90,5,0
36.64,6.27,4,0
19.80,0.56,11,0
12.67,2.54,10,0
23.94,0.51,4,0
29.12,1.85,5,0
36.46,6.24,4,0
19.45,0.48,11,0
12.37,2.49,10,0
23.66,0.44,4,0
28.94,1.80,5,0
36.28,6.21,4,0
19.10,0.40,12,0
12.07,2.44,11,0
23.38,0.37,4,0
28.76,1.75,5,0
36.10,6.18,4,0
18.75,0.32,12,0
11.77,2.39,11,0
23.10,0.30,4,0
28.58,1.70,5,0
35.92,6.15,4,0
18.40,0.24,12,0
11.47,2.34,11,0
22.82,0.23,4,0
28.40,1.65,5,0
35.74,6.12,4,0
18.05,0.16,12,0
11.17,2.29,11,0
22.54,0.16,4,0
28.22,1.60,5,0
35.56,6.09,4,0
17.70,0.08,12,0
10.87,2.24,11,0
22.26,0.09,4,0
28.04,1.55,5,0
35.38,6.06,4,0
17.35,0.00,12,0
10.57,2.19,11,0
21.98,0.02,4,0
27.86,1.50,5,0
35.20,6.03,4,0
17.00,0.00,12,0
10.27,2.14,11,0
21.70,0.00,4,0
27.68,1.45,5,0
35.02,6.00,4,0
16.65,0.00,13,0
9.97,2.09,11,0
21.42,0.00,4,0
27.50,1.40,5,0
34.84,5.97,4,0
16.30,0.00,13,0
9.67,2.04,11,0
21.14,0.00,4,0
27.32,1.35,5,0
34.66,5.94,4,0
15.95,0.00,13,0
9.37,1.99,11,0
20.86,0.00,4,0
27.14,1.30,5,0
34.48,5.91,4,0
15.60,0.00,13,0
9.07,1.94,12,0
20.58,0.00,4,0
26.96,1.25,5,0
34.30,5.88,4,0
15.25,0.00,13,0
8.77,1.89,12,0
20.30,0.00,4,0
26.78,1.20,5,0
34.12,5.85,4,0
14.90,0.00,13,0
8.47,1.84,12,0
20.02,0.00,4,0
26.60,1.15,5,0
33.94,5.82,4,0
14.55,0.00,13,0
8.17,1.79,12,0
19.74,0.00,4,0
26.42,1.10,5,0
33.76,5.79,4,0
14.20,0.00,13,0
7.87,1.74,12,0
19.46,0.00,4,0
26.24,1.05,5,0
33.58,5.76,4,0
13.85,0.00,14,0
7.57,1.69,12,0
19.18,0.00,4,0
26.06,1.00,5,0
33.40,5.73,4,0
13.50,0.00,14,0
7.27,1.64,12,0
18.90,0.00,4,0
25.88,0.95,5,0
33.22,5.70,4,0
13.15,0.00,14,0
6.97,1.59,12,0
18.62,0.00,4,0
25.70,0.90,5,0
33.04,5.67,4,0
12.80,0.00,14,0
6.67,1.54,12,0
18.34,0.00,4,0
25.52,0.85,5,0
32.86,5.64,4,0
12.45,0.00,14,0
6.37,1.49,12,0
18.06,0.00,4,0
25.34,0.80,5,0
32.68,5.61,4,0
12.10,0.00,14,0
6.07,1.44,12,0
17.78,0.00,4,0
25.16,0.75,5,0
32.50,5.58,4,0
11.75,0.00,15,0
5.77,1.39,13,0
17.50,0.00,4,0
24.98,0.70,5,0
32.32,5.55,4,0
11.40,0.00,15,0
5.47,1.34,13,0
17.22,0.00,4,0
24.80,0.65,5,0
32.14,5.52,4,0
11.05,0.00,15,0
5.17,1.29,13,0
16.94,0.00,4,0
24.62,0.60,5,0
31.96,5.49,4,0
10.70,0.00,15,0
4.87,1.24,13,0
16.66,0.00,4,0
24.44,0.55,5,0
31.78,5.46,4,0
10.35,0.00,15,0
4.57,1.19,13,0
16.38,0.00,4,0
24.26,0.50,5,0
31.60,5.43,4,0
10.00,0.00,15,0
4.27,1.14,13,0
16.10,0.00,4,0
24.08,0.45,5,0
31.42,5.40,4,0
9.65,0.00,16,0
3.97,1.09,13,0
15.82,0.00,4,0
23.90,0.40,5,0
31.24,5.37,4,0
9.30,0.00,16,0
3.67,1.04,13,0
15.54,0.00,4,0
23.72,0.35,5,0
31.06,5.34,4,0
8.95,0.00,16,0
3.37,0.99,13,0
15.26,0.00,4,0
23.54,0.30,5,0
30.88,5.31,4,0
8.60,0.00,16,0
3.07,0.94,13,0
14.98,0.00,4,0
23.36,0.25,5,0
30.70,5.28,4,0
8.25,0.00,16,0
2.77,0.89,14,0
14.70,0.00,4,0
23.18,0.20,5,0
30.52,5.25,4,0
7.90,0.00,16,0
2.47,0.84,14,0
14.42,0.00,4,0
23.00,0.15,5,0
30.34,5.22,4,0
7.55,0.00,17,0
2.17,0.79,14,0
14.14,0.00,4,0
22.82,0.10,5,0
30.16,5.19,4,0
7.20,0.00,17,0
1.87,0.74,14,0
13.86,0.00,4,0
22.64,0.05,5,0
29.98,5.16,4,0
6.85,0.00,17,0
1.57,0.69,14,0
13.58,0.00,4,0
22.46,0.00,5,0
29.80,5.13,4,0
6.50,0.00,17,0
1.27,0.64,14,0
13.30,0.00,4,0
22.28,0.00,5,0
29.62,5.10,4,0
6.15,0.00,17,0
0.97,0.59,14,0
